,T,predicted_mu,frequency
0,5,-8.315775803892402,1
1,5,-7.601914759061385,1
2,5,-7.31255247426014,1
3,5,-5.413200207909691,1
4,5,-5.434020148786616,1
5,5,-5.485132452058619,1
6,5,-3.6384011532493763,1
7,5,-6.034661146185526,1
8,5,-8.58120004421248,1
9,5,-4.527378117732211,1
10,5,-7.100815648540965,1
11,5,-6.268046695550306,1
12,5,-10.538892295987731,1
13,5,-5.105139154613963,1
14,5,-9.317793788468373,1
15,5,-7.13536481815917,1
16,5,-7.757731657886667,1
17,5,-5.430044276395818,1
18,5,-7.410905980997041,1
19,5,-5.373833036977611,1
20,5,-7.239459885115039,1
21,5,-5.875937174795964,1
22,5,-12.838901485591988,1
23,5,-5.350893581050399,1
24,5,-6.824182479142939,1
25,5,-7.22554616133599,1
26,5,-6.599827515857192,1
27,5,-6.0271637135312846,1
28,5,-3.8992877138532567,1
29,5,-4.923420317948577,1
30,5,-5.351553076495649,1/2
31,5,-8.170302022109452,1/2
32,5,-8.084634230886254,1/2
33,5,-7.076499740497331,1/2
34,5,-5.455329684860964,1/2
35,5,-8.600031423761344,1/2
36,5,-5.949171487553076,1/2
37,5,-5.6011136231243075,1/2
38,5,-6.909580310162013,1/2
39,5,-5.7000697224004995,1/2
40,5,-7.135279068645845,1/2
41,5,-4.179016342555154,1/2
42,5,-9.898800046414353,1/2
43,5,-5.546185157783333,1/2
44,5,-6.737208499818798,1/2
45,5,-5.82076429128557,1/2
46,5,-2.9905717200224204,1/2
47,5,-4.010937583183778,1/2
48,5,-5.585946647515652,1/2
49,5,-5.899011368141918,1/2
50,5,-4.776685740602496,1/2
51,5,-7.806018004263285,1/2
52,5,-8.164851651807574,1/2
53,5,-4.624096865490889,1/2
54,5,-6.65858709774065,1/2
55,5,-3.877443882621536,1/2
56,5,-9.168590412890381,1/2
57,5,-5.474745267016084,1/2
58,5,-4.507942491826966,1/2
59,5,-7.267403492461729,1/2
60,20,-6.573536968200806,1/4
61,20,-6.315093502109182,1/4
62,20,-6.919149366091454,1/4
63,20,-5.236071632585045,1/4
64,20,-9.209282110232223,1/4
65,20,-6.073665010232137,1/4
66,20,-7.12474041196672,1/4
67,20,-10.462082252927026,1/4
68,20,-6.541831778226808,1/4
69,20,-4.0837515894070195,1/4
70,20,-6.831015367606621,1/4
71,20,-4.7878399634783255,1/4
72,20,-7.469407661331915,1/4
73,20,-5.137449144279276,1/4
74,20,-5.224551921565575,1/4
75,20,-8.0794821785694,1/4
76,20,-7.91438437253104,1/4
77,20,-6.793760660015352,1/4
78,20,-5.650710295158609,1/4
79,20,-8.543988281153236,1/4
80,20,-5.958187118700978,1/4
81,20,-9.538915466265948,1/4
82,20,-3.952714327248666,1/4
83,20,-7.589660688733285,1/4
84,20,-5.159293201427944,1/4
85,20,-6.962100230008728,1/4
86,20,-5.4407806931484455,1/4
87,20,-6.812172479653082,1/4
88,20,-7.028591894019398,1/4
89,20,-6.493834338763778,1/4
90,20,-5.882856505367318,1/2
91,20,-5.569812275972842,1/2
92,20,-7.261919644499635,1/2
93,20,-8.889201063105464,1/2
94,20,-3.669835387521544,1/2
95,20,-5.436602627056223,1/2
96,20,-6.510460723425338,1/2
97,20,-7.37874258629762,1/2
98,20,-4.770493916840421,1/2
99,20,-5.800715965587876,1/2
100,20,-4.988806092076225,1/2
101,20,-6.147221478885192,1/2
102,20,-6.702416169640819,1/2
103,20,-8.122855694419831,1/2
104,20,-6.642311053499376,1/2
105,20,-6.703513962331366,1/2
106,20,-8.226539457884002,1/2
107,20,-5.16982881724006,1/2
108,20,-9.401516956867487,1/2
109,20,-5.960953743113891,1/2
110,20,-5.829829029027133,1/2
111,20,-10.06501486994661,1/2
112,20,-6.582328536288088,1/2
113,20,-6.156170629103011,1/2
114,20,-5.102924421464278,1/2
115,20,-7.673784465711661,1/2
116,20,-4.927251016813607,1/2
117,20,-5.111907334074974,1/2
118,20,-5.062917385609061,1/2
119,20,-4.526907804270192,1/2
120,50,-5.139157321792847,1/4
121,50,-5.273220378105387,1/4
122,50,-5.012242572503436,1/4
123,50,-6.0863477450674175,1/4
124,50,-5.449063259202416,1/4
125,50,-8.287243682964505,1/4
126,50,-4.8703750677817075,1/4
127,50,-5.27007279768805,1/4
128,50,-5.761455062169023,1/4
129,50,-5.0871813059168245,1/4
130,50,-5.732346104835536,1/4
131,50,-5.131580984993786,1/4
132,50,-5.784142981268958,1/4
133,50,-6.032252462247664,1/4
134,50,-6.257674153006569,1/4
135,50,-5.572107283120052,1/4
136,50,-5.210454164938777,1/4
137,50,-4.656109176776071,1/4
138,50,-5.438356621377542,1/4
139,50,-8.39365574665643,1/4
140,50,-5.336305080748728,1/4
141,50,-4.820182435980151,1/4
142,50,-6.337963928910605,1/4
143,50,-7.11954394679625,1/4
144,50,-5.3539186124452804,1/4
145,50,-5.2078219061418265,1/4
146,50,-8.499070281023299,1/4
147,50,-4.840167502814278,1/4
148,50,-7.152964662592805,1/4
149,50,-7.392574757941066,1/4
150,50,-6.569544295038342,1/2
151,50,-5.886703289092304,1/2
152,50,-5.839377564577718,1/2
153,50,-6.288625665490367,1/2
154,50,-4.279557373598284,1/2
155,50,-6.34489953162589,1/2
156,50,-6.025690194397301,1/2
157,50,-4.773416110744708,1/2
158,50,-5.8604492727546855,1/2
159,50,-4.520644929497961,1/2
160,50,-6.838646577205031,1/2
161,50,-6.0527824829260135,1/2
162,50,-6.72960239703404,1/2
163,50,-5.256137143927235,1/2
164,50,-6.3153925542594305,1/2
165,50,-5.9308331527054685,1/2
166,50,-5.52322324336374,1/2
167,50,-5.483116904328944,1/2
168,50,-5.155052841931423,1/2
169,50,-5.258173151140465,1/2
170,50,-5.3425380336068,1/2
171,50,-6.032364543761894,1/2
172,50,-5.739307951622595,1/2
173,50,-7.474588320569382,1/2
174,50,-6.320185883447289,1/2
175,50,-5.327134397953779,1/2
176,50,-4.647915326929344,1/2
177,50,-7.396516492157169,1/2
178,50,-5.852093848500329,1/2
179,50,-5.291938812732198,1/2
