,T,predicted_mu,frequency
0,5,-7.197575066418951,1
1,5,-7.012458473802793,1
2,5,-3.4186429336929813,1
3,5,-9.688892698442277,1
4,5,-7.124371860199168,1
5,5,-9.306271213131975,1
6,5,-7.770164492076092,1
7,5,-7.825529732466088,1
8,5,-7.119479630688392,1
9,5,-8.895699324037626,1
10,5,-7.504452548490086,1
11,5,-7.1374414834773425,1
12,5,-7.052334622092491,1
13,5,-7.07634928311491,1
14,5,-7.305791397676984,1
15,5,-7.098293465778844,1
16,5,-7.143052277799472,1
17,5,-7.066416711408559,1
18,5,-6.81249740849994,1
19,5,-1.817805898216201,1
20,5,-9.145026200806322,1
21,5,-8.956101285057148,1
22,5,-0.12529056471590813,1
23,5,-7.324426378295821,1
24,5,-7.181134477411967,1
25,5,-9.505192726456713,1
26,5,-7.32972978216787,1
27,5,-7.776255276755293,1
28,5,-7.199872270068969,1
29,5,-9.609701653229768,1
30,5,-9.606448420402328,1/2
31,5,-13.168196296332386,1/2
32,5,-7.5301025678336675,1/2
33,5,-7.385093210118162,1/2
34,5,-17.122705798498004,1/2
35,5,-7.437318905624892,1/2
36,5,-9.381421979422145,1/2
37,5,-6.667760860505817,1/2
38,5,-8.89676794214066,1/2
39,5,-7.904347705655145,1/2
40,5,-7.312256508970217,1/2
41,5,-7.380895093810325,1/2
42,5,-9.555125387219874,1/2
43,5,-5.555688535097539,1/2
44,5,-6.033797370777417,1/2
45,5,-6.924489222785047,1/2
46,5,-7.262809737876118,1/2
47,5,-8.109439168393594,1/2
48,5,-7.805411696292156,1/2
49,5,-7.519994082116888,1/2
50,5,-6.9425521600086135,1/2
51,5,-9.565513012108873,1/2
52,5,-7.237683602676895,1/2
53,5,-10.945151707238706,1/2
54,5,-5.155237883398972,1/2
55,5,-9.050950729955327,1/2
56,5,-10.428456644725319,1/2
57,5,-8.473113870200995,1/2
58,5,-7.860880634067046,1/2
59,5,-10.297755686999693,1/2
60,20,-7.358128201881672,1/4
61,20,-7.451063715578032,1/4
62,20,-7.2083999965620915,1/4
63,20,-7.131060825018706,1/4
64,20,-7.231655027468794,1/4
65,20,-7.133922804328727,1/4
66,20,-7.272905523586731,1/4
67,20,-0.4361584077744031,1/4
68,20,-7.346242176976343,1/4
69,20,-7.227886617783229,1/4
70,20,-7.168419124623983,1/4
71,20,-7.237499521136471,1/4
72,20,-0.08137633273998138,1/4
73,20,-7.497368927867261,1/4
74,20,-7.23302363707295,1/4
75,20,-7.012776394666588,1/4
76,20,-7.541656318447276,1/4
77,20,-7.116552424051021,1/4
78,20,-7.395892997057291,1/4
79,20,-7.259979720063779,1/4
80,20,-7.012356781378958,1/4
81,20,-7.152299430648844,1/4
82,20,-7.085667991830195,1/4
83,20,-0.04276527743666062,1/4
84,20,-7.096107659623779,1/4
85,20,-7.183497167252279,1/4
86,20,-7.311834967575112,1/4
87,20,-7.0900613231147505,1/4
88,20,-7.21871908894175,1/4
89,20,-7.103228581243484,1/4
90,20,-0.7997320031058354,1/2
91,20,-7.358815633381014,1/2
92,20,-7.2038925844162165,1/2
93,20,-0.9301709789754765,1/2
94,20,-7.240580627746287,1/2
95,20,-7.0282837577156725,1/2
96,20,-0.25237379041121644,1/2
97,20,-7.034782269198354,1/2
98,20,-7.290405855176583,1/2
99,20,-7.425100182555808,1/2
100,20,-7.067373212880647,1/2
101,20,-7.0838124691614475,1/2
102,20,-7.152507764212897,1/2
