,T,predicted_mu,frequency
0,5,-7.446399221191093,1
1,5,-7.045194922563883,1
2,5,-6.78477907109205,1
3,5,-8.15544356494178,1
4,5,-6.345776187529235,1
5,5,-7.458061741668229,1
6,5,-7.1643280001101,1
7,5,-8.14436139264875,1
8,5,-7.041995114710485,1
9,5,-7.696984584861555,1
10,5,-7.049498258082302,1
11,5,-7.323843073495115,1
12,5,-7.3279681557243235,1
13,5,-3.784288238200217,1
14,5,-9.882396976527424,1
15,5,-7.229301663578666,1
16,5,-15.305866234221956,1
17,5,-7.063213462465793,1
18,5,-8.096615761643141,1
19,5,-8.53374615649251,1
20,5,-7.0645850410414806,1
21,5,-8.313365078216536,1
22,5,-2.099756777371697,1
23,5,-6.9151369699272625,1
24,5,-7.2557791670022285,1
25,5,-10.694659947954378,1
26,5,-7.306665805828302,1
27,5,-12.592195233682391,1
28,5,-10.114514044024407,1
29,5,-7.255740649538588,1
30,5,-7.179494481687222,1/2
31,5,-6.720693265304519,1/2
32,5,-7.889760351163275,1/2
33,5,-7.416228760325176,1/2
34,5,-7.0255397161378985,1/2
35,5,-8.369898519632029,1/2
36,5,-9.220310932754977,1/2
37,5,-9.210420964756807,1/2
38,5,-7.136263879907613,1/2
39,5,-13.166086992390143,1/2
40,5,,1/2
41,5,-8.798217653499236,1/2
42,5,-7.18102578959848,1/2
43,5,-8.36037597469103,1/2
44,5,-11.329118652482753,1/2
45,5,-6.607630981365782,1/2
46,5,-9.81899426829901,1/2
47,5,-10.136053214008747,1/2
48,5,-12.806002403274206,1/2
49,5,-10.196234359819165,1/2
50,5,-7.31632908802886,1/2
51,5,-7.158283166118562,1/2
52,5,-8.335191170340064,1/2
53,5,-10.883871444977666,1/2
54,5,-12.981888866884095,1/2
55,5,-6.998219812330235,1/2
56,5,-7.488636409338324,1/2
57,5,-8.553187609901828,1/2
58,5,-8.822924120545833,1/2
59,5,-10.594706857797613,1/2
60,20,-8.600306465286351,1/4
61,20,-7.505782700050134,1/4
62,20,-7.432168090748249,1/4
63,20,-8.72092711484399,1/4
64,20,-7.481528683352051,1/4
65,20,-7.153222434548228,1/4
66,20,-7.672667218425512,1/4
67,20,,1/4
68,20,-7.428213917574314,1/4
69,20,-7.137072694787994,1/4
70,20,-6.992772842213373,1/4
71,20,-7.137076165337037,1/4
72,20,-7.102961443002211,1/4
73,20,-7.273844921899124,1/4
74,20,-7.226819097052087,1/4
75,20,-7.219933582473633,1/4
76,20,-7.207246800139852,1/4
77,20,-7.225178038994086,1/4
78,20,-7.097132616706375,1/4
79,20,-7.368813119686299,1/4
80,20,-7.183352529110558,1/4
81,20,-7.05788892868626,1/4
82,20,-7.022187771068844,1/4
83,20,-7.186531230675135,1/4
84,20,-7.275146286719077,1/4
85,20,-7.533919996489314,1/4
86,20,-7.235769355854412,1/4
87,20,-7.124839155053485,1/4
88,20,-6.568148653630646,1/4
89,20,-7.531480037482354,1/4
90,20,-7.004732331255586,1/2
91,20,-7.555743632131617,1/2
92,20,-7.486537834862063,1/2
93,20,-7.116942192218153,1/2
94,20,-7.253081684711344,1/2
95,20,-7.214561898016729,1/2
96,20,-0.06104825803414179,1/2
97,20,-7.181306946621053,1/2
98,20,-7.179087381068616,1/2
99,20,-7.275366358860012,1/2
100,20,-7.100752993912355,1/2
101,20,-7.183592761664609,1/2
102,20,-7.1106170816756675,1/2
103,20,-7.338285247806504,1/2
104,20,-7.104068125494397,1/2
105,20,-7.063585574048666,1/2
106,20,-7.271678417127312,1/2
107,20,-7.214038669616236,1/2
108,20,-7.051114557130802,1/2
109,20,-7.061779449901998,1/2
110,20,-7.601080523744012,1/2
111,20,-7.047113282840167,1/2
112,20,-7.16955618254142,1/2
113,20,-7.216872960707069,1/2
114,20,-7.18010442959625,1/2
115,20,-7.123883839357441,1/2
116,20,-0.14963282133389086,1/2
117,20,-6.991282448379157,1/2
118,20,-7.093063134390429,1/2
119,20,-7.494277486059211,1/2
120,50,-6.999569265184059,1/4
121,50,-7.012855585851949,1/4
122,50,-0.03509722586729073,1/4
123,50,-0.2040094645425012,1/4
124,50,-6.98455561474091,1/4
125,50,-7.0341585464518195,1/4
126,50,-7.030280170604706,1/4
127,50,-5.4086428729538e-06,1/4
128,50,-7.004649702559956,1/4
129,50,-7.065978426804065,1/4
130,50,-7.084112194538808,1/4
131,50,-0.599295889165484,1/4
132,50,-7.016250862778301,1/4
133,50,-7.047278873655651,1/4
134,50,-7.047396662383375,1/4
135,50,-0.26305948650509614,1/4
136,50,-7.065073581626415,1/4
137,50,-7.025231303253399,1/4
138,50,-7.055085446648325,1/4
139,50,-0.03891279941208072,1/4
140,50,,1/4
141,50,-7.017722187257111,1/4
142,50,-7.059325349949987,1/4
143,50,-629.5342175276681,1/4
144,50,-7.049435785389929,1/4
145,50,-7.026507354029796,1/4
146,50,-7.060421753602811,1/4
147,50,-6.968856899126211,1/4
148,50,-7.034212189481218,1/4
149,50,-7.070716532966847,1/4
